# zCosmos template for highz blue galaxies
# with stron EL
# created by OlF in august 2005
#               lambda1            flux    
      1185.520364403723    1.720020E-19    
       1186.87783050537    1.579931E-19    
      1188.235296607016    1.482439E-19    
      1189.592762708663    1.550109E-19    
      1190.950228810309    1.242610E-19    
      1192.307694911955    1.269237E-19    
      1193.665161013601    1.293344E-19    
      1195.022627115248    1.247079E-19    
      1196.380093216895    1.931353E-19    
      1197.737559318541    2.606750E-19    
      1199.095025420187    2.666289E-19    
      1200.452491521834    2.102336E-19    
       1201.80995762348    1.376273E-19    
      1203.167423725127    1.122996E-19    
      1204.524889826773    1.591211E-19    
       1205.88235592842    2.201222E-19    
      1207.239822030066    2.589999E-19    
      1208.597288131712    2.805558E-19    
      1209.954754233359    3.154268E-19    
      1211.312220335005    4.665507E-19    
      1212.669686436651    8.533232E-19    
      1214.027152538298    1.366124E-18    
      1215.384618639945    1.755503E-18    
      1216.742084741591    1.930453E-18    
      1218.099550843237    1.773289E-18    
      1219.457016944883    1.420202E-18    
       1220.81448304653    1.108701E-18    
      1222.171949148177    7.869015E-19    
      1223.529415249823    5.091985E-19    
      1224.886881351469    3.822823E-19    
      1226.244347453116    3.656012E-19    
      1227.601813554762    3.704034E-19    
      1228.959279656409    3.992759E-19    
      1230.316745758055    3.744146E-19    
      1231.674211859702    3.155334E-19    
      1233.031677961348    2.790539E-19    
      1234.389144062994    2.728149E-19    
      1235.746610164641    2.907180E-19    
      1237.104076266287    3.007562E-19    
      1238.461542367933    3.043528E-19    
       1239.81900846958    3.120070E-19    
      1241.176474571226    2.897892E-19    
      1242.533940672873    2.491603E-19    
      1243.891406774519    2.511236E-19    
      1245.248872876165    2.850762E-19    
      1246.606338977812    2.964814E-19    
      1247.963805079458    2.999823E-19    
      1249.321271181105    3.102204E-19    
      1250.678737282751    3.056371E-19    
      1252.036203384398    3.146797E-19    
      1253.393669486044    3.060996E-19    
       1254.75113558769    2.515602E-19    
      1256.108601689337    1.827884E-19    
      1257.466067790983    1.544595E-19    
       1258.82353389263    1.820991E-19    
      1260.180999994277    2.152283E-19    
      1261.538466095923    2.086314E-19    
      1262.895932197569    2.065150E-19    
      1264.253398299215    2.406943E-19    
      1265.610864400862    2.825661E-19    
      1266.968330502509    2.891988E-19    
      1268.325796604155    2.685502E-19    
      1269.683262705801    2.530866E-19    
      1271.040728807447    2.488996E-19    
      1272.398194909094    2.362689E-19    
       1273.75566101074    2.007054E-19    
      1275.113127112387    1.904699E-19    
      1276.470593214033    2.066398E-19    
       1277.82805931568    2.137764E-19    
      1279.185525417326    2.321127E-19    
      1280.542991518973    2.838931E-19    
      1281.900457620619    2.847398E-19    
      1283.257923722266    2.792315E-19    
      1284.615389823912    2.955554E-19    
      1285.972855925558    2.727138E-19    
      1287.330322027204    2.400323E-19    
      1288.687788128851    2.462510E-19    
      1290.045254230498    2.728921E-19    
      1291.402720332144    2.692719E-19    
       1292.76018643379    2.251366E-19    
      1294.117652535437    2.217569E-19    
      1295.475118637083    2.373646E-19    
       1296.83258473873    2.358721E-19    
      1298.190050840376    2.308475E-19    
      1299.547516942022    2.120617E-19    
      1300.904983043669    1.813985E-19    
      1302.262449145315    1.555433E-19    
      1303.619915246962    1.505760E-19    
      1304.977381348608    1.623889E-19    
      1306.334847450254    1.830413E-19    
      1307.692313551901    2.211869E-19    
      1309.049779653548    2.304199E-19    
      1310.407245755194    2.333064E-19    
       1311.76471185684    2.613597E-19    
      1313.122177958486    2.708794E-19    
      1314.479644060133    2.585358E-19    
      1315.837110161779    2.482649E-19    
      1317.194576263426    2.944190E-19    
      1318.552042365072    3.116951E-19    
      1319.909508466719    2.579249E-19    
      1321.266974568365    2.255239E-19    
      1322.624440670011    2.413237E-19    
      1323.981906771658    2.645562E-19    
      1325.339372873305    2.806065E-19    
      1326.696838974951    2.909495E-19    
      1328.054305076598    2.877948E-19    
      1329.411771178244    2.684105E-19    
       1330.76923727989    2.346149E-19    
      1332.126703381536    1.986582E-19    
      1333.484169483183    1.800242E-19    
      1334.841635584829    1.985252E-19    
      1336.199101686476    2.462727E-19    
      1337.556567788122    2.663682E-19    
      1338.914033889768    2.436331E-19    
      1340.271499991415    2.528464E-19    
      1341.628966093061    3.194591E-19    
      1342.986432194708    3.208846E-19    
      1344.343898296354    2.613797E-19    
         1345.701364398    2.504416E-19    
      1347.058830499647    2.773218E-19    
      1348.416296601294    2.918260E-19    
       1349.77376270294    2.994895E-19    
      1351.131228804586    3.103344E-19    
      1352.488694906233    3.069316E-19    
       1353.84616100788    2.797029E-19    
      1355.203627109526    2.667644E-19    
      1356.561093211172    2.917606E-19    
      1357.918559312818    3.057572E-19    
      1359.276025414465    2.917080E-19    
      1360.633491516112    2.681922E-19    
      1361.990957617758    2.799851E-19    
      1363.348423719404    3.282090E-19    
      1364.705889821051    3.418676E-19    
      1366.063355922697    3.176717E-19    
      1367.420822024343    3.029345E-19    
       1368.77828812599    3.057769E-19    
      1370.135754227636    3.095138E-19    
      1371.493220329283    3.107890E-19    
      1372.850686430929    3.040669E-19    
