# zCosmos template for highz blue galaxies
# created by OlF in august 2005
#            lambda1            flux       
   1221.023126566182    8.166054E-19       
   1222.217745875709    6.140923E-19       
   1223.412365185236    4.634033E-19       
   1224.606984494764    3.783566E-19       
   1225.801603804291    3.608193E-19       
   1226.996223113818    3.701635E-19       
   1228.190842423345    3.760219E-19       
   1229.385461732873    3.779117E-19       
     1230.5800810424    3.621282E-19       
   1231.774700351927    3.543002E-19       
   1232.969319661455    3.849907E-19       
   1234.163938970982    4.033924E-19       
   1235.358558280509    3.820143E-19       
   1236.553177590037    3.573642E-19       
   1237.747796899564    3.608014E-19       
   1238.942416209091    3.803179E-19       
   1240.137035518618    3.918699E-19       
   1241.331654828146    4.079571E-19       
   1242.526274137673    4.354685E-19       
     1243.7208934472    4.500582E-19       
   1244.915512756728    4.350823E-19       
   1246.110132066255    4.133963E-19       
   1247.304751375782    4.106753E-19       
    1248.49937068531    4.154555E-19       
   1249.693989994837    4.222163E-19       
   1250.888609304364    4.281889E-19       
   1252.083228613891    4.279944E-19       
   1253.277847923419    4.222675E-19       
   1254.472467232946    4.173103E-19       
   1255.667086542473    4.094849E-19       
   1256.861705852001    3.889816E-19       
   1258.056325161528    3.549209E-19       
   1259.250944471055    3.317982E-19       
   1260.445563780583    3.355801E-19       
    1261.64018309011    3.635416E-19       
   1262.834802399637    4.006347E-19       
   1264.029421709164    4.160662E-19       
   1265.224041018692    4.157023E-19       
   1266.418660328219    4.229732E-19       
   1267.613279637746    4.387695E-19       
   1268.807898947273    4.463400E-19       
   1270.002518256801    4.442195E-19       
   1271.197137566328    4.426556E-19       
   1272.391756875856    4.348060E-19       
   1273.586376185383    4.409326E-19       
    1274.78099549491    4.418038E-19       
   1275.975614804437    4.375471E-19       
   1277.170234113965    4.446745E-19       
   1278.364853423492    4.484323E-19       
   1279.559472733019    4.314516E-19       
   1280.754092042546    4.345530E-19       
   1281.948711352074    4.439624E-19       
   1283.143330661601    4.470399E-19       
   1284.337949971129    4.511474E-19       
   1285.532569280656    4.543423E-19       
   1286.727188590183    4.521494E-19       
   1287.921807899711    4.548448E-19       
   1289.116427209238    4.539838E-19       
   1290.311046518765    4.455062E-19       
   1291.505665828292    4.409474E-19       
   1292.700285137819    4.437563E-19       
   1293.894904447347    4.485338E-19       
   1295.089523756874    4.454252E-19       
   1296.284143066401    4.267794E-19       
   1297.478762375929    4.094601E-19       
   1298.673381685456    4.027340E-19       
   1299.868000994983    3.830125E-19       
   1301.062620304511    3.540085E-19       
   1302.257239614038    3.404430E-19       
   1303.451858923565    3.423116E-19       
   1304.646478233093    3.510118E-19       
    1305.84109754262    3.926255E-19       
   1307.035716852147    4.428961E-19       
   1308.230336161674    4.633244E-19       
   1309.424955471202    4.672250E-19       
   1310.619574780729    4.697609E-19       
   1311.814194090257    4.592349E-19       
   1313.008813399784    4.496957E-19       
   1314.203432709311    4.574143E-19       
   1315.398052018838    4.571861E-19       
   1316.592671328365    4.531365E-19       
   1317.787290637893    4.462377E-19       
    1318.98190994742    4.371520E-19       
   1320.176529256947    4.375137E-19       
   1321.371148566474    4.384200E-19       
   1322.565767876002    4.276353E-19       
   1323.760387185529    4.205196E-19       
   1324.955006495057    4.258925E-19       
   1326.149625804584    4.399562E-19       
   1327.344245114111    4.428917E-19       
   1328.538864423639    4.276979E-19       
   1329.733483733166    4.189321E-19       
   1330.928103042694    3.951100E-19       
   1332.122722352221    3.850781E-19       
   1333.317341661748    3.842704E-19       
